Net,Count ,Temp,Conductivity,DO,pH,Depth
1,0,8.3,153.8,10.78,6.96,10
2,0,8.3,153.8,10.78,6.96,13
3,0,8.3,153.8,10.78,6.96,11
4,0,8.3,153.8,10.78,6.96,11
5,0,3.88,199.6,13.3,7.46,18
6,0,3.88,199.6,13.3,7.46,17
7,0,10.6,109.7,10.22,7.81,25
8,1,10.6,109.7,10.22,7.81,29
9,0,10.6,109.7,10.22,7.81,18
10,9,8.2,71.2,11,7.55,26.5
11,0,8.2,71.2,11,7.55,26.5
12,1,8.2,71.2,11,7.55,27
13,1,8.2,71.2,11,7.55,20
14,0,8.6,242.7,12.25,7.75,7
15,0,8.6,242.7,12.25,7.75,14
16,0,8.6,242.7,12.25,7.75,20
17,9,5.4,87,12.6,8.14,42
18,1,5.4,87,12.6,8.14,40
19,0,5.4,87,12.6,8.14,20
20,0,5.4,87,12.6,8.14,20
21,0,2.8,74,14.2,7.47,11
22,0,2.8,74,14.2,7.47,28
23,0,2.8,74,14.2,7.47,28
24,1,2.8,74,14.2,7.47,28
25,0,3,53.8,17.64,7.31,27
26,0,3,53.8,17.64,7.31,25
27,0,3,53.8,17.64,7.31,19
28,0,3,53.8,17.64,7.31,19
29,0,9.3,67.9,15.79,6.94,15
30,1,9.3,67.9,15.79,6.94,20
31,0,9.3,67.9,15.79,6.94,18
32,2,9.3,67.9,15.79,6.94,18
33,1,11.6,103.6,12.44,6.91,23
34,1,11.6,103.6,12.44,6.91,19
35,0,11.6,103.6,12.44,6.91,15
36,2,11.6,103.6,12.44,6.91,15
37,3,7.3,101.6,18.44,6.84,26
38,6,7.3,101.6,18.44,6.84,27
39,10,7.3,101.6,18.44,6.84,25
40,1,7.3,101.6,18.44,6.84,22
41,0,13.2,146.2,12.18,7.64,19
42,0,13.2,146.2,12.18,7.64,18
